ID,wav,duration,spk_id,age,transcript
cv-corpus-20.0-2024-12-06-zu_common_voice_zu_39879161_12,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-20.0-2024-12-06-zu_common_voice_zu_39879161.mp3,5.05,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,uvumile ukuthi udaba lwezindlu inselelo enkulu
cv-corpus-20.0-2024-12-06-zu_common_voice_zu_39879168_13,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-20.0-2024-12-06-zu_common_voice_zu_39879168.mp3,4.26,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,xoxela umngani wakho ukuthi kwenzekeni kubongi
cv-corpus-20.0-2024-12-06-zu_common_voice_zu_39879169_14,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-20.0-2024-12-06-zu_common_voice_zu_39879169.mp3,5.23,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,iqembu ngalinye lisebenza nothisha kabili ngesonto
cv-corpus-21.0-2025-03-14-zu_common_voice_zu_39879096_15,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-21.0-2025-03-14-zu_common_voice_zu_39879096.mp3,5.23,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,abafundi babhekisa phansi amakhadi abo ezinombolo
cv-corpus-21.0-2025-03-14-zu_common_voice_zu_39879100_16,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-21.0-2025-03-14-zu_common_voice_zu_39879100.mp3,4.9,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,bhala igama lakho ushaye izandla ulandela isigqi
cv-corpus-21.0-2025-03-14-zu_common_voice_zu_39879103_17,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-21.0-2025-03-14-zu_common_voice_zu_39879103.mp3,4.44,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,yini engingayenza ukuxhasa ukufunda kwengane yami
cv-corpus-21.0-2025-03-14-zu_common_voice_zu_39879127_18,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-21.0-2025-03-14-zu_common_voice_zu_39879127.mp3,6.67,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,yimaphi amazwekazi okutholakala kuwo lawa mazwe
cv-corpus-21.0-2025-03-14-zu_common_voice_zu_39879161_19,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-21.0-2025-03-14-zu_common_voice_zu_39879161.mp3,5.05,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,uvumile ukuthi udaba lwezindlu inselelo enkulu
cv-corpus-21.0-2025-03-14-zu_common_voice_zu_39879168_20,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-21.0-2025-03-14-zu_common_voice_zu_39879168.mp3,4.26,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,xoxela umngani wakho ukuthi kwenzekeni kubongi
cv-corpus-21.0-2025-03-14-zu_common_voice_zu_39879169_21,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-21.0-2025-03-14-zu_common_voice_zu_39879169.mp3,5.23,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,iqembu ngalinye lisebenza nothisha kabili ngesonto
cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879093_22,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879093.mp3,4.8,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,zithwala abantu nezinto zabo ezisindayo emhlane
cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879094_23,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879094.mp3,4.62,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,bahleli kuliphi igumbi lendlu laba abakhulumayo
cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879096_24,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879096.mp3,5.23,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,abafundi babhekisa phansi amakhadi abo ezinombolo
cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879100_25,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879100.mp3,4.9,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,bhala igama lakho ushaye izandla ulandela isigqi
cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879103_26,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879103.mp3,4.44,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,yini engingayenza ukuxhasa ukufunda kwengane yami
cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879127_27,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879127.mp3,6.67,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,yimaphi amazwekazi okutholakala kuwo lawa mazwe
cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879150_28,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879150.mp3,5.44,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,le ncwadi iba nesingeniso umzimba kanye nesiphetho
cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879159_29,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879159.mp3,6.34,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,izimayini ziqashe abantu abevile kwisigamu sesigidi
cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879161_30,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879161.mp3,5.05,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,uvumile ukuthi udaba lwezindlu inselelo enkulu
cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879168_31,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879168.mp3,4.26,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,xoxela umngani wakho ukuthi kwenzekeni kubongi
cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879169_32,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879169.mp3,5.23,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,iqembu ngalinye lisebenza nothisha kabili ngesonto
cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879171_33,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-22.0-2025-06-20-zu_common_voice_zu_39879171.mp3,5.88,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,le mikhiqizo isinda kangakanani uma ibekwe ndawonye
